S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
194,Jack,Action,80.0,0.0,66.7,5.6,2.3,78.0
195,Liger,Action,90.0,61.1,50.0,2.6,50,20.05
196,Skanda,Action,50.0,50.0,33.0,4.2,50,57.5
197,Ugram,Action,15.0,50.0,76.0,6.5,7.5,45.0
198,Saindhav,Action,80.0,66.0,57.0,5.1,8.2,18.4
199,Pottel,Action,7.5,0.0,70.0,8.1,2.3,15.0
200,Warrior,Action,70.0,50.0,33.0,4.8,18,313.2
201,Tuck Jagadish,Action,5.0,66.0,65.0,5.6,3.5,45.0
202,Zombie reddy,Action,4.0,66.0,60.0,6.6,4.5,25.0
203,Rama rao on duty,Action,55.0,0.0,52.5,5.1,10,35.0
204,Bheemla nayak,Action,75.0,50.0,51.0,6.3,11.8,192.0
205,Buddy,Action,25.0,50.0,28.0,3.8,20,20.0
206,Gandharva dhaari arjuna,Action,50.0,50.0,87.5,5.4,10,18.0
207,krack,Action,35.0,66.0,52.5,6.9,5,70.6
208,Dhamaka ,Action,35.0,66.0,52.5,6.2,6,110.0
209,Wild dog,Action,6.0,0.0,65.0,6.1,10,35.0
210,Aadhikeshava,Action,20.0,0.0,27.5,4.2,7.96,0.02
211,Bhimbisara,Action,40.0,100.0,25.0,6.8,29,50.0
212,Double ismart,Action,47.5,50.0,33.0,2.9,1.5,1.15
213,Seetimaar,Action,25.0,50.0,55.0,5.0,10,15.1
214,Devil,Action,45.0,0.0,25.0,6.5,16,20.0
215,Ravanasura,Action,50.0,50.0,52.5,5.7,10,24.0
216,Disco raja,Action,30.0,50.0,52.5,6.1,6.9,26.0
217,Republic,Action,40.0,50.0,44.0,7.8,14,40.0
218,Michael,Action,14.5,50.0,60.0,5.0,12,12.0
219,Son of india,Action,400.0,0.0,64.0,3.2,2.1,0.17
220,Operation valentine,Action,45.0,0.0,87.5,4.3,7.2,20.0
221,Saaho,Action,325.0,50.0,45.45,5.1,58,429.0
222,Goodachari,Action,6.0,100.0,80.0,8.5,3.5,45.0
223,V,Action,25.0,60.0,65.0,6.8,10,50.0
224,Wailtar veerayaa,Action,140.0,50.0,65.0,6.2,2.7,25.0
225,Dhruva,Action,50.0,66.0,57.14,7.7,5,120.0
226,Ganga of godavari,Action,11.0,50.0,53.3,5.0,7.8,20.8
227,Na saami ranga,Action,45.0,0.0,65.0,4.5,6.7,30.5
228,Sye ra narashima reddy,Action,200.0,50.0,65.0,7.5,12,240.0
229,Savyasachi,Action,24.0,50.0,65.4,4.1,3,60.0
230,Chhaava,Action,130.0,100.0,40.0,7.3,78,750.0
231,Deva,Action,50.0,0.0,43.0,6.7,37,30.0
232,Dangal,Action,70.0,100.0,85.0,8.3,100,1996.0
233,Animal,Action,100.0,100.0,70.0,6.1,113,550.0
234,Kesari,Action,80.0,100.0,75.0,7.4,10,65.45
235,Hotel Mumbai,Action,1.73,100.0,60.0,7.6,5,2.13
236,Gangs of Wasseypur,Action,18.4,75.0,85.0,8.2,5,4.3
237,Fighter,Action,250.0,100.0,80.0,6.2,45,344.0
238,Baby John,Action,160.0,100.0,72.0,5.2,71,180.0
239,Jawan,Action,300.0,100.0,90.0,6.9,45,1159.0
240,Shershaah,Action,75.0,100.0,60.0,8.3,10,100.0
241,Jigra,Action,85.0,0.0,83.3,6.0,57,15.0
242,Dunki,Action,120.0,100.0,90.0,6.5,80,470.6
243,Haider,Action,35.0,100.0,80.0,8.0,3,85.0
244,Sikandar Ka Muqaddar,Action,1.0,75.0,75.0,6.0,47,17.0
245,Pathaan,Action,250.0,100.0,90.0,5.8,10,1052.5
246,Uri: The Surgical Strike,Action,44.0,100.0,80.0,8.2,13,342.73
247,Article 370,Action,20.0,50.0,72.5,7.8,32,8.0
248,Brahmastra Part One: Shiva,Action,410.0,100.0,70.0,5.6,10,430.77
249,Shehzada,Action,85.0,50.0,60.0,4.5,75,47.0
250,War,Action,170.0,100.0,80.0,6.6,10,475.0
251,Tiger 3,Action,300.0,75.0,85.0,5.7,82,466.63
252,Tiger Zinda Hai,Action,130.0,100.0,85.0,5.9,29,565.0
253,Bade Miyan Chote Miyan,Action,350.0,100.0,75.0,3.7,55,28.84
254,Ek Tha Tiger,Action,75.0,100.0,85.0,5.7,5,320.0
255,Bang Bang,Action,140.0,100.0,80.0,5.7,0.176,340.0
256,Ram Setu,Action,150.0,50.0,75.0,5.3,42,185.0
257,Baadshaho,Action,90.0,50.0,80.0,4.9,20,150.0
258,Dhoom 2,Action,3.5,100.0,80.0,6.6,2.6,370.0
259,Dhoom 3,Action,100.0,75.0,85.0,5.4,37,550.0
260,Yodha,Action,55.0,75.0,60.0,5.7,38,85.0
261,Kisi Ka Bhai Kisi Ki Jaan,Action,125.0,50.0,85.0,4.0,57,185.0
262,A Flying Jatt,Action,45.0,50.0,50.0,3.1,41,75.0
263,Shamshera,Action,150.0,50.0,70.0,4.7,108,85.0
264,Sherni,Action,0.25,100.0,80.0,6.8,21,25.0
265,Junglee,Action,22.0,50.0,60.0,5.5,44,100.0
266,Housefull 2,Action,75.0,75.0,75.0,5.4,2.7,200.0
267,Khufiya,Action,37.5,100.0,82.5,6.1,41,10.0
268,Chandu Champion,Action,105.0,100.0,60.0,7.8,47,5.0
269,Raazi,Action,30.0,100.0,90.0,7.7,33,197.0
270,Happy New Year,Action,150.0,75.0,80.0,5.0,9.7,342.0
271,Agni,Action,40.0,50.0,82.5,7.2,15,50.0
272,An Action Hero,Action,45.0,50.0,80.0,7.0,29,16.24
273,Ludo,Action,35.0,100.0,75.0,7.6,9.4,100.0
274,Vikram Vedha,Action,100.0,100.0,80.0,7.1,61,135.03
275,Sankrathiki Vasthunam,Comedy,50.0,75.0,83.0,6.3,21,260.0
276,14 Days,Comedy,2.0,30.0,20.0,9.0,1.2,0.5
277,Srikakulam Sherlockhomes,Comedy,10.7,20.0,70.0,8.3,2.9,3.0
278,Mazaka,Comedy,30.0,62.5,60.0,6.0,1.4,12.0
279,Manamey,Comedy,20.0,40.0,75.0,9.2,7,17.0
280,Ala vaikuntapuramloo,Comedy,100.0,80.0,90.0,7.3,36,280.0
281,Laila,Comedy,18.0,73.3,30.0,2.6,8,10.0
282,Eega,Comedy,35.0,100.0,95.0,7.7,0.37,130.0
283,Sarileru Neekevaru,Comedy,75.0,75.0,75.0,5.8,45,207.0
284,SVSC,Comedy,40.0,40.0,83.0,7.5,0.44,51.0
